index,circuitId,name,country,lat,lng,continent
29,30,Kyalami,South Africa,-25.9894,28.0767,Africa
55,56,Prince George Circuit,South Africa,-33.0486,27.8736,Africa
63,64,Ain Diab,Morocco,33.5786,-7.6875,Africa
